raceId,driverId,constructorId,circuitId,year,round,grid,driver_age,lat,lng,alt,quali_position,quali_session_reached,q1_seconds,q2_seconds,q3_seconds,best_quali_time,gap_to_pole_pct,driver_champ_pos_before,driver_points_before,driver_wins_before,driver_rolling_pos_5,constructor_champ_pos_before,constructor_points_before,constructor_wins_before,driver_avg_pace_circuit,driver_circuit_appearances,driver_lap_consistency,team_avg_pitstop_ms,driver_avg_stops_circuit,temp_c,humidity_pct,precip_mm,windspeed_kmh,weathercode,weather_label,is_rain,is_heavy_rain,nationality_driver,nationality_constructor,country,location,driverId_target_enc_cv,constructorId_target_enc_cv,circuitId_target_enc_cv,positionOrder
18,1,1,1,2008,1,1,23.2,-37.8497,144.968,10,1.0,3.0,86.572,85.187,86.714,85.187,0.0,2.0,109.0,4.0,6.6,11.0,218.0,8.0,88.748,1,4.089,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,9,5,1,39,5.145,9.453,11.288,1
18,2,2,1,2008,1,5,30.9,-37.8497,144.968,10,5.0,3.0,85.96000000000001,85.518,87.236,85.518,0.3886,5.0,61.0,0.0,7.2,2.0,101.0,0.0,93.481,7,5.243,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,20,10,1,39,10.899,8.982,11.378,2
18,3,3,1,2008,1,7,22.7,-37.8497,144.968,10,7.0,3.0,86.295,86.059,88.687,86.059,1.0236,9.0,20.0,0.0,10.0,4.0,33.0,0.0,90.039,1,4.047,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,20,5,1,39,8.238,11.153,11.378,3
18,4,4,1,2008,1,11,26.6,-37.8497,144.968,10,12.0,2.0,86.907,86.188,-1.0,86.188,1.1751,3.0,109.0,4.0,6.0,3.0,51.0,0.0,90.662,6,5.088,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,37,9,1,39,8.435,11.408,11.288,4
18,5,1,1,2008,1,3,26.4,-37.8497,144.968,10,3.0,3.0,85.664,85.452,87.07900000000001,85.452,0.3111,7.0,30.0,0.0,8.6,11.0,218.0,8.0,90.598,1,4.167,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,18,5,1,39,13.24,9.464,11.042,5
18,6,3,1,2008,1,13,23.2,-37.8497,144.968,10,14.0,2.0,86.89099999999999,86.413,-1.0,86.413,1.4392,22.0,0.0,0.0,10.0,4.0,33.0,0.0,92.761,0,5.678,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,26,5,1,39,13.077,11.202,11.042,6
18,7,5,1,2008,1,17,29.0,-37.8497,144.968,10,18.0,1.0,87.446,-1.0,-1.0,87.446,2.6518,13.0,4.0,0.0,12.4,7.0,8.0,0.0,92.761,0,5.678,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,19,14,1,39,14.636,13.547,11.249,7
18,8,6,1,2008,1,15,28.4,-37.8497,144.968,10,16.0,1.0,86.14,-1.0,-1.0,86.14,1.1187,1.0,110.0,6.0,1.8,1.0,204.0,9.0,90.783,7,4.917,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,18,14,1,39,8.238,8.165,11.288,8
18,9,2,1,2008,1,2,23.3,-37.8497,144.968,10,2.0,3.0,86.10300000000001,85.315,86.869,85.315,0.1503,13.0,4.0,0.0,8.8,2.0,101.0,0.0,89.007,1,3.857,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,32,10,1,39,10.269,9.183,11.042,9
18,10,7,1,2008,1,18,26.0,-37.8497,144.968,10,9.0,3.0,86.919,86.164,89.593,86.164,1.1469,13.0,4.0,0.0,13.0,6.0,10.0,0.0,92.761,0,5.678,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,20,15,1,39,14.74,11.401,11.253,10
18,11,8,1,2008,1,19,31.1,-37.8497,144.968,10,20.0,1.0,88.208,-1.0,-1.0,88.208,3.5463,13.0,4.0,0.0,14.4,6.0,10.0,0.0,94.419,5,6.738,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,26,15,1,39,13.625,16.286,11.378,11
18,12,4,1,2008,1,20,22.6,-37.8497,144.968,10,21.0,1.0,88.33,-1.0,-1.0,88.33,3.6895,13.0,4.0,0.0,12.4,3.0,51.0,0.0,92.761,0,5.678,39320.350000000006,2.0,37.1,18,0.0,17.9,1,0,0,0,8,9,1,39,14.522,11.145,11.253,12
